Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
25/04/2026,AMAZON PRIME VIDEO MUMBAI,CC260425001,25/04/2026,299.00,,153772.00
26/04/2026,IMPS DR-PRIYA VERMA-priya.v@okicici,IMPS260426001,26/04/2026,3000.00,,150772.00
27/04/2026,UPI-REFUND-AMAZON PAY-REF/260427001,UPI260427001,27/04/2026,,899.00,151671.00
28/04/2026,UPI-SWIGGY-orders@swiggy-UPI/260428001,UPI260428001,28/04/2026,780.00,,150891.00
28/04/2026,BILLPAY-DELHI JAL BOARD WATER APR26,BP260428002,28/04/2026,450.00,,150441.00
29/04/2026,POS-BARBEQUE NATION GURGAON DLF,POS260429001,29/04/2026,3200.00,,147241.00
29/04/2026,BILLPAY-IGL PIPED GAS APR26,BP260429002,29/04/2026,680.00,,146561.00
30/04/2026,ATM WDL-ATM MALVIYA NAGAR DELHI-260430001,ATM260430001,30/04/2026,8000.00,,138561.00
30/04/2026,UPI-BLINKIT-blinkit@yesbank-UPI/260430002,UPI260430002,30/04/2026,1120.00,,137441.00
05/04/2026,UPI-DOMINOS-dominos@hdfcbank-UPI/260405003,UPI260405003,05/04/2026,549.00,,136892.00
11/04/2026,UPI-ZEPTO-zepto@icici-UPI/260411002,UPI260411002,11/04/2026,678.00,,136214.00
14/04/2026,NEFT DR-RENT LANDLORD MR SINGH APR26,NEFT260414002,14/04/2026,22000.00,,114214.00
20/04/2026,UPI-PHONEPE RECHARGE-VI MOBILE,UPI260420002,20/04/2026,399.00,,113815.00
23/04/2026,UPI-CULTFIT-cult.fit@paytm-UPI/260423002,UPI260423002,23/04/2026,1499.00,,112316.00
26/04/2026,UPI-MAKEMYTRIP-mmt@hdfcbank-UPI/260426002,UPI260426002,26/04/2026,8450.00,,103866.00
07/04/2026,UPI-IRCTC TICKET-irctc@unionbank,UPI260407002,07/04/2026,1845.00,,102021.00
